18:50:32:486045|0035-00001:PSH::Tinfo UTCOffset {+05:30}
18:51:31:613305|1093-00035:Pinfo Component {unknown} Type {PUB} APIVersion {1.6.8-p8d7} ApplVersion {0.0.1} SysUtilsKind {win} NanoTimeKind {generic} FReq {60} PID {29464} MemSize {41182} MemPct {0.5} JVMVersion {17.0.12,Java HotSpot(TM) 64-Bit Server VM} JVMTotalMemory {516096} JVMFreeMemory {474913} JVMMaxTotalMemory {8249344} CPUTime {00:00:04:953} CPUAvg {4.35} CPUPeak {278.57} CPUPeakTime {18:50:31:605} Pub {0} PubLoc {0} SubRec {0} SubRecLoc {0} SubField {0} SubFieldLoc {0} SupRec {0} SupRecLoc {0} SupField {0} SupFieldLoc {0} UpdRec {0} UpdRecLoc {0} UpdField {0} UpdFieldLoc {0} UpdRecSub {0} MsgRecSnpRecv {0} MsgFieldSnpRecv {0} MsgRecSnpSent {0} MsgFieldSnpSent {0} MsgRecRecv {0} MsgFieldRecv {0} MsgRecSent {0} MsgFieldSent {0} pUpdRec {0} pUpdRecLoc {0} pUpdField {0} pUpdFieldLoc {0} pUpdRecSub {0} pMsgRecSnpRecv {0} pMsgFieldSnpRecv {0} pMsgRecSnpSent {0} pMsgFieldSnpSent {0} pMsgRecRecv {0} pMsgFieldRecv {0} pMsgRecSent {0} pMsgFieldSent {0} WLogBytes {87624} AvgIOTPut {242704} SyncLogWaitMsecs {0} SyncLogThreadsSus {0} LostLogTraces {0} ClientID {-1} PlatformID {-1} UTCOffset {+05:30}
18:51:31:613355|0123-00035:PSH::HWINFO arch {amd64} numproc {22} mem {32985808K} os {Windows 11} osversion {10.0} timezone {India Standard Time}
18:52:31:618454|1089-00035:Pinfo Component {unknown} Type {PUB} APIVersion {1.6.8-p8d7} ApplVersion {0.0.1} SysUtilsKind {win} NanoTimeKind {generic} FReq {60} PID {29464} MemSize {41454} MemPct {0.5} JVMVersion {17.0.12,Java HotSpot(TM) 64-Bit Server VM} JVMTotalMemory {516096} JVMFreeMemory {474641} JVMMaxTotalMemory {8249344} CPUTime {00:00:05:343} CPUAvg {0.65} CPUPeak {4.6} CPUPeakTime {18:52:12:684} Pub {0} PubLoc {0} SubRec {0} SubRecLoc {0} SubField {0} SubFieldLoc {0} SupRec {0} SupRecLoc {0} SupField {0} SupFieldLoc {0} UpdRec {0} UpdRecLoc {0} UpdField {0} UpdFieldLoc {0} UpdRecSub {0} MsgRecSnpRecv {0} MsgFieldSnpRecv {0} MsgRecSnpSent {0} MsgFieldSnpSent {0} MsgRecRecv {0} MsgFieldRecv {0} MsgRecSent {0} MsgFieldSent {0} pUpdRec {0} pUpdRecLoc {0} pUpdField {0} pUpdFieldLoc {0} pUpdRecSub {0} pMsgRecSnpRecv {0} pMsgFieldSnpRecv {0} pMsgRecSnpSent {0} pMsgFieldSnpSent {0} pMsgRecRecv {0} pMsgFieldRecv {0} pMsgRecSent {0} pMsgFieldSent {0} WLogBytes {19173} AvgIOTPut {53488} SyncLogWaitMsecs {0} SyncLogThreadsSus {0} LostLogTraces {0} ClientID {-1} PlatformID {-1} UTCOffset {+05:30}
18:52:31:618677|0123-00035:PSH::HWINFO arch {amd64} numproc {22} mem {32985808K} os {Windows 11} osversion {10.0} timezone {India Standard Time}
18:53:31:623451|1090-00035:Pinfo Component {unknown} Type {PUB} APIVersion {1.6.8-p8d7} ApplVersion {0.0.1} SysUtilsKind {win} NanoTimeKind {generic} FReq {60} PID {29464} MemSize {41818} MemPct {0.51} JVMVersion {17.0.12,Java HotSpot(TM) 64-Bit Server VM} JVMTotalMemory {516096} JVMFreeMemory {474277} JVMMaxTotalMemory {8249344} CPUTime {00:00:05:781} CPUAvg {0.73} CPUPeak {4.6} CPUPeakTime {18:52:53:714} Pub {0} PubLoc {0} SubRec {0} SubRecLoc {0} SubField {0} SubFieldLoc {0} SupRec {0} SupRecLoc {0} SupField {0} SupFieldLoc {0} UpdRec {0} UpdRecLoc {0} UpdField {0} UpdFieldLoc {0} UpdRecSub {0} MsgRecSnpRecv {0} MsgFieldSnpRecv {0} MsgRecSnpSent {0} MsgFieldSnpSent {0} MsgRecRecv {0} MsgFieldRecv {0} MsgRecSent {0} MsgFieldSent {0} pUpdRec {0} pUpdRecLoc {0} pUpdField {0} pUpdFieldLoc {0} pUpdRecSub {0} pMsgRecSnpRecv {0} pMsgFieldSnpRecv {0} pMsgRecSnpSent {0} pMsgFieldSnpSent {0} pMsgRecRecv {0} pMsgFieldRecv {0} pMsgRecSent {0} pMsgFieldSent {0} WLogBytes {17283} AvgIOTPut {69280} SyncLogWaitMsecs {0} SyncLogThreadsSus {0} LostLogTraces {0} ClientID {-1} PlatformID {-1} UTCOffset {+05:30}
18:53:31:623503|0123-00035:PSH::HWINFO arch {amd64} numproc {22} mem {32985808K} os {Windows 11} osversion {10.0} timezone {India Standard Time}
18:54:31:626220|1090-00035:Pinfo Component {unknown} Type {PUB} APIVersion {1.6.8-p8d7} ApplVersion {0.0.1} SysUtilsKind {win} NanoTimeKind {generic} FReq {60} PID {29464} MemSize {41999} MemPct {0.51} JVMVersion {17.0.12,Java HotSpot(TM) 64-Bit Server VM} JVMTotalMemory {516096} JVMFreeMemory {474096} JVMMaxTotalMemory {8249344} CPUTime {00:00:06:125} CPUAvg {0.57} CPUPeak {3.1} CPUPeakTime {18:53:56:756} Pub {0} PubLoc {0} SubRec {0} SubRecLoc {0} SubField {0} SubFieldLoc {0} SupRec {0} SupRecLoc {0} SupField {0} SupFieldLoc {0} UpdRec {0} UpdRecLoc {0} UpdField {0} UpdFieldLoc {0} UpdRecSub {0} MsgRecSnpRecv {0} MsgFieldSnpRecv {0} MsgRecSnpSent {0} MsgFieldSnpSent {0} MsgRecRecv {0} MsgFieldRecv {0} MsgRecSent {0} MsgFieldSent {0} pUpdRec {0} pUpdRecLoc {0} pUpdField {0} pUpdFieldLoc {0} pUpdRecSub {0} pMsgRecSnpRecv {0} pMsgFieldSnpRecv {0} pMsgRecSnpSent {0} pMsgFieldSnpSent {0} pMsgRecRecv {0} pMsgFieldRecv {0} pMsgRecSent {0} pMsgFieldSent {0} WLogBytes {17286} AvgIOTPut {61199} SyncLogWaitMsecs {0} SyncLogThreadsSus {0} LostLogTraces {0} ClientID {-1} PlatformID {-1} UTCOffset {+05:30}
18:54:31:626295|0123-00035:PSH::HWINFO arch {amd64} numproc {22} mem {32985808K} os {Windows 11} osversion {10.0} timezone {India Standard Time}
18:54:47:738569|0047-00031:APP: Application {INFO} Action {STOPPING}
18:54:47:750711|0052-00031:BOOT: Service Manager {INFO} Action {Stopping}
18:54:47:750783|0046-00031:APP: Application {INFO} Action {STOPPED}
